nsites,nelements,volume,density,density_atomic
4,3,117.3117775,6.665850047,29.32794438
38,4,446.4690779,4.382034239,11.74918626
146,5,2520.975347,3.649533893,17.26695443
38,4,725.8019459,1.861363714,19.10005121
4,3,82.18798414,5.457927644,20.54699604
44,4,436.9018513,1.369290903,9.92958753
22,4,585.1806102,4.125844905,26.59911865
20,3,398.6705496,1.881773407,19.93352748
28,5,304.0009021,4.365409032,10.85717508
12,4,158.3651311,6.633103868,13.19709426
28,3,435.953702,9.07093958,15.56977507
8,3,124.676515,7.682587123,15.58456438
4,3,76.93548149,11.85134218,19.23387037
12,3,192.5516596,3.966921629,16.04597163
52,4,691.2524442,4.346709222,13.29331623
10,4,108.8430347,9.315322321,10.88430347
26,4,388.963876,2.772384753,14.96014908
19,3,265.4519635,7.993555119,13.97115597
40,5,558.8736434,3.029138369,13.97184109
12,3,213.5273414,10.76602635,17.79394512
4,3,64.47113171,9.522302393,16.11778293
11,3,147.4698332,9.6069409,13.40634847
4,2,140.2782637,6.817286771,35.06956593
4,2,163.7522892,8.679980294,40.93807229
10,4,154.2298083,4.840063625,15.42298083
39,4,377.9573542,3.738178535,9.691214209
20,3,240.4750726,4.526921926,12.02375363
4,3,63.07842183,12.2343991,15.76960546
12,2,159.8322182,9.940397664,13.31935152
14,3,251.1230056,4.446432917,17.93735754
36,3,627.6948451,11.12461149,17.43596792
116,5,1795.480014,2.664071016,15.47827599
10,3,114.1618803,7.727862618,11.41618803
10,3,243.5052491,5.487111258,24.35052491
50,5,695.4228591,1.674760543,13.90845718
10,3,187.275593,9.613080751,18.7275593
76,4,983.7057135,3.757457522,12.94349623
48,5,711.7561847,3.202972369,14.82825385
14,3,188.6475753,4.62614684,13.4748268
52,5,705.9890271,2.666060926,13.57671206
20,3,310.0485729,5.180963899,15.50242864
60,3,1356.969053,3.465757674,22.61615089
36,3,1026.861139,5.645199128,28.52392053
86,3,2733.565842,6.138931214,31.78564933
4,3,822.9294705,0.78556283,205.7323676
36,3,379.8420169,4.260311036,10.55116714
20,3,313.7224264,9.273182759,15.68612132
104,5,1060.200323,2.829512074,10.19423387
12,4,390.3592515,5.085621182,32.52993763
36,3,471.0747587,2.932975797,13.08540997
10,4,170.7687325,6.981437635,17.07687325
16,3,293.2626352,1.60349893,18.3289147
10,4,347.0620521,4.105858322,34.70620521
78,3,1663.259123,9.147605111,21.3238349
32,4,366.9657085,3.735242529,11.46767839
10,3,248.0888762,5.467352517,24.80888762
10,4,148.8829683,7.155493594,14.88829683
4,3,112.7848269,7.830995592,28.19620672
42,4,521.1493452,3.2607364,12.40831774
50,5,633.6744951,5.550713969,12.6734899
14,3,205.9486134,7.607418092,14.71061524
34,4,373.8844278,3.546327423,10.99660082
56,5,1008.675689,3.119331125,18.01206588
56,5,714.8444843,2.628013192,12.76508008
36,4,1018.78629,3.306759981,28.29961916
44,3,568.6212227,3.549155013,12.92320961
8,3,124.8805488,10.85007042,15.6100686
108,4,1550.001246,2.444998437,14.35186338
14,4,265.1448786,4.022724351,18.9389199
24,3,380.8645822,9.543098074,15.86935759
4,3,75.82959916,10.3485,18.95739979
28,4,484.5891797,3.330557459,17.30675642
10,4,129.1416495,7.925079797,12.91416495
24,4,213.3815785,4.103111058,8.890899105
20,3,365.3555314,8.996973967,18.26777657
56,4,1407.539451,4.953331666,25.13463305
128,5,1526.711948,1.811049754,11.92743709
14,4,344.2940032,5.733751722,24.5924288
80,3,1204.118106,3.784775127,15.05147632
12,3,149.5352316,11.57544682,12.4612693
8,3,180.0135491,5.102203414,22.50169364
32,3,637.5274239,6.966677708,19.922732
4,2,63.35701374,12.42388657,15.83925344
32,4,287.6997271,4.173004229,8.990616471
42,3,469.277742,4.246042319,11.17327957
28,4,571.454707,3.128399031,20.40909668
